t:game number,to:game number,t:abbreviation,to:abbreviation,t:rest,to:rest,t:goals,to:goals,t:line,to:line,t:wins,t:losses,to:wins,to:losses,t:matchup wins,t:matchup losses,t:period scores,to:period scores,H
4,3,COL,BOS,1,1,6,3,110,-120,2,1,1,1,1,0,"[1, 3, 2]","[1, 0, 2]",True
3,4,BOS,COL,1,1,3,6,-120,110,1,1,2,1,0,1,"[1, 0, 2]","[1, 3, 2]",False
4,4,ANA,NYI,1,1,3,2,-122,112,1,2,1,2,0,0,"[1, 1, 1]","[1, 0, 1]",True
4,4,NYI,ANA,1,1,2,3,112,-122,1,2,1,2,0,0,"[1, 0, 1]","[1, 1, 1]",False
3,4,LA,CAL,3,1,3,4,-138,128,2,0,2,1,0,0,"[0, 1, 2, 0]","[2, 0, 1, 1]",True
4,3,CAL,LA,1,3,4,3,128,-138,2,1,2,0,0,0,"[2, 0, 1, 1]","[0, 1, 2, 0]",False
4,5,TB,PIT,2,0,5,4,-141,131,2,1,2,2,0,0,"[2, 3, 0]","[1, 2, 1]",True
5,4,PIT,TB,0,2,4,5,131,-141,2,2,2,1,0,0,"[1, 2, 1]","[2, 3, 0]",False
3,5,FLA,STL,4,1,5,2,-127,117,1,1,4,0,0,0,"[0, 3, 2]","[0, 1, 1]",True
5,3,STL,FLA,1,4,2,5,117,-127,4,0,1,1,0,0,"[0, 1, 1]","[0, 3, 2]",False
4,4,NAS,DAL,1,1,4,1,-123,113,1,2,1,2,0,0,"[0, 2, 2]","[1, 0, 0]",True
4,4,DAL,NAS,1,1,1,4,113,-123,1,2,1,2,0,0,"[1, 0, 0]","[0, 2, 2]",False
5,3,CHI,MIN,1,4,2,5,-130,120,3,1,0,2,0,0,"[0, 0, 2]","[0, 1, 4]",True
3,5,MIN,CHI,4,1,5,2,120,-130,0,2,3,1,0,0,"[0, 1, 4]","[0, 0, 2]",False
3,4,VAN,WIN,1,2,2,4,117,-127,1,1,1,2,0,0,"[1, 0, 1]","[1, 2, 1]",True
4,3,WIN,VAN,2,1,4,2,-127,117,1,2,1,1,0,0,"[1, 2, 1]","[1, 0, 1]",False
4,4,ARI,DET,1,1,2,4,-123,113,0,3,2,1,0,0,"[0, 2, 0]","[0, 2, 2]",True
4,4,DET,ARI,1,1,4,2,113,-123,2,1,0,3,0,0,"[0, 2, 2]","[0, 2, 0]",False
3,4,SJ,BUF,4,2,3,2,-168,158,0,2,0,3,0,0,"[2, 1, 0]","[1, 1, 0]",True
4,3,BUF,SJ,2,4,2,3,158,-168,0,3,0,2,0,0,"[1, 1, 0]","[2, 1, 0]",False
4,5,NJ,WAS,1,1,2,5,131,-141,3,0,2,2,0,0,"[0, 1, 1]","[1, 2, 2]",True
5,4,WAS,NJ,1,1,5,2,-141,131,2,2,3,0,0,0,"[1, 2, 2]","[0, 1, 1]",False
4,5,CLB,NYR,2,2,3,1,-141,131,2,1,1,3,0,0,"[0, 1, 2]","[1, 0, 0]",True
5,4,NYR,CLB,2,2,1,3,131,-141,1,3,2,1,0,0,"[1, 0, 0]","[0, 1, 2]",False
5,5,COL,ANA,1,1,3,1,103,-113,3,1,2,2,0,0,"[1, 0, 2]","[0, 0, 1]",True
5,5,ANA,COL,1,1,1,3,-113,103,2,2,3,1,0,0,"[0, 0, 1]","[1, 0, 2]",False
5,4,CAL,OTT,1,2,0,6,-150,140,3,1,1,2,0,0,"[0, 0, 0]","[1, 1, 4]",True
4,5,OTT,CAL,2,1,6,0,140,-150,1,2,3,1,0,0,"[1, 1, 4]","[0, 0, 0]",False
4,5,VEG,DET,2,0,3,6,-135,125,3,0,3,1,0,0,"[0, 3, 0]","[1, 1, 4]",True
5,4,DET,VEG,0,2,6,3,125,-135,3,1,3,0,0,0,"[1, 1, 4]","[0, 3, 0]",False
5,3,WIN,CAR,1,3,2,1,-115,105,2,2,1,1,0,0,"[1, 0, 1]","[1, 0, 0]",True
3,5,CAR,WIN,3,1,1,2,105,-115,1,1,2,2,0,0,"[1, 0, 0]","[1, 0, 1]",False
5,5,MON,TOR,3,2,3,4,-112,102,1,3,3,1,0,0,"[2, 1, 0, 0]","[2, 1, 0, 1]",True
5,5,TOR,MON,2,3,4,3,102,-112,3,1,1,3,0,0,"[2, 1, 0, 1]","[2, 1, 0, 0]",False
5,6,TB,STL,1,1,2,1,-146,136,3,1,4,1,0,0,"[0, 1, 1]","[0, 0, 1]",True
6,5,STL,TB,1,1,1,2,136,-146,4,1,3,1,0,0,"[0, 0, 1]","[0, 1, 1]",False
6,5,NYR,NJ,0,0,2,3,-151,141,1,4,3,1,0,0,"[0, 1, 1]","[0, 2, 1]",True
5,6,NJ,NYR,0,0,3,2,141,-151,3,1,1,4,0,0,"[0, 2, 1]","[0, 1, 1]",False
5,6,PHI,WAS,3,0,8,2,-115,105,2,2,3,2,0,0,"[2, 3, 3]","[1, 1, 0]",True
6,5,WAS,PHI,0,3,2,8,105,-115,3,2,2,2,0,0,"[1, 1, 0]","[2, 3, 3]",False
6,4,PIT,FLA,1,1,4,3,-166,156,2,3,2,1,0,0,"[1, 2, 1]","[0, 2, 1]",True
4,6,FLA,PIT,1,1,3,4,156,-166,2,1,2,3,0,0,"[0, 2, 1]","[1, 2, 1]",False
5,6,DAL,COL,1,0,3,1,-201,186,1,3,4,1,0,0,"[0, 2, 1]","[0, 0, 1]",True
6,5,COL,DAL,0,1,1,3,186,-201,4,1,1,3,0,0,"[0, 0, 1]","[0, 2, 1]",False
4,5,MIN,CLB,1,0,4,5,-110,100,1,2,3,1,0,0,"[1, 2, 1, 0]","[1, 1, 2, 1]",True
5,4,CLB,MIN,0,1,5,4,100,-110,3,1,1,2,0,0,"[1, 1, 2, 1]","[1, 2, 1, 0]",False
6,5,CHI,NAS,1,1,2,1,-130,120,3,2,2,2,0,0,"[0, 0, 1, 1]","[0, 1, 0, 0]",True
5,6,NAS,CHI,1,1,1,2,120,-130,2,2,3,2,0,0,"[0, 1, 0, 0]","[0, 0, 1, 1]",False
5,4,ARI,BOS,1,2,2,6,-101,-109,0,4,1,2,0,0,"[1, 0, 1]","[1, 3, 2]",True
4,5,BOS,ARI,2,1,6,2,-109,-101,1,2,0,4,0,0,"[1, 3, 2]","[1, 0, 1]",False
4,6,VAN,CAL,1,0,2,5,-103,-107,1,2,3,2,0,0,"[1, 0, 1]","[1, 2, 2]",True
6,4,CAL,VAN,0,1,5,2,-107,-103,3,2,1,2,0,0,"[1, 2, 2]","[1, 0, 1]",False
4,5,EDM,OTT,4,0,1,6,-185,170,1,2,2,2,0,0,"[0, 0, 1]","[2, 1, 3]",True
5,4,OTT,EDM,0,4,6,1,170,-185,2,2,1,2,0,0,"[2, 1, 3]","[0, 0, 1]",False
4,5,LA,BUF,2,1,4,2,-170,160,2,1,0,4,0,0,"[0, 1, 3]","[1, 0, 1]",True
5,4,BUF,LA,1,2,2,4,160,-170,0,4,2,1,0,0,"[1, 0, 1]","[0, 1, 3]",False
4,5,SJ,NYI,1,2,1,3,-125,115,1,2,1,3,0,0,"[1, 0, 0]","[1, 1, 1]",True
5,4,NYI,SJ,2,1,3,1,115,-125,1,3,1,2,0,0,"[1, 1, 1]","[1, 0, 0]",False
5,5,VEG,BOS,1,0,3,1,125,-135,3,1,2,2,0,0,"[0, 2, 1]","[0, 0, 1]",True
5,5,BOS,VEG,0,1,1,3,-135,125,2,2,3,1,0,0,"[0, 0, 1]","[0, 2, 1]",False
6,6,ANA,BUF,1,0,1,3,-150,140,2,3,0,5,0,0,"[0, 1, 0]","[1, 1, 1]",True
6,6,BUF,ANA,0,1,3,1,140,-150,0,5,2,3,0,0,"[1, 1, 1]","[0, 1, 0]",False
5,6,LA,NYI,0,0,3,2,-136,126,3,1,2,3,0,0,"[1, 1, 1]","[0, 1, 1]",True
6,5,NYI,LA,0,0,2,3,126,-136,2,3,3,1,0,0,"[0, 1, 1]","[1, 1, 1]",False
6,6,DET,TB,2,1,2,3,109,-119,4,1,4,1,0,0,"[0, 2, 0]","[2, 0, 1]",True
6,6,TB,DET,1,2,3,2,-119,109,4,1,4,1,0,0,"[2, 0, 1]","[0, 2, 0]",False
6,7,NJ,TB,2,0,5,4,-106,-104,4,1,5,1,0,0,"[3, 0, 1, 0, 1]","[2, 2, 0, 0, 0]",True
7,6,TB,NJ,0,2,4,5,-104,-106,5,1,4,1,0,0,"[2, 2, 0, 0, 0]","[3, 0, 1, 0, 1]",False
7,7,NYR,PIT,2,2,4,5,107,-117,1,5,3,3,0,0,"[0, 3, 1, 0]","[2, 1, 1, 1]",True
7,7,PIT,NYR,2,2,5,4,-117,107,3,3,1,5,0,0,"[2, 1, 1, 1]","[0, 3, 1, 0]",False
6,5,PHI,FLA,2,2,5,1,-135,125,3,2,2,2,0,0,"[0, 4, 1]","[0, 0, 1]",True
5,6,FLA,PHI,2,2,1,5,125,-135,2,2,3,2,0,0,"[0, 0, 1]","[0, 4, 1]",False
7,6,WAS,TOR,2,2,0,2,-129,119,3,3,4,1,0,0,"[0, 0, 0]","[0, 0, 2]",True
6,7,TOR,WAS,2,2,2,0,119,-129,4,1,3,3,0,0,"[0, 0, 2]","[0, 0, 0]",False
6,5,OTT,VAN,2,2,0,3,-185,170,3,2,1,3,1,0,"[0, 0, 0]","[1, 1, 1]",True
5,6,VAN,OTT,2,2,3,0,170,-185,1,3,3,2,0,1,"[1, 1, 1]","[0, 0, 0]",False
6,7,NAS,COL,2,2,4,1,-165,155,2,3,4,2,0,0,"[0, 3, 1]","[0, 1, 0]",True
7,6,COL,NAS,2,2,1,4,155,-165,4,2,2,3,0,0,"[0, 1, 0]","[0, 3, 1]",False
6,6,WIN,CLB,2,2,2,5,-113,103,3,2,4,1,0,0,"[0, 1, 1]","[0, 4, 1]",True
6,6,CLB,WIN,2,2,5,2,103,-113,4,1,3,2,0,0,"[0, 4, 1]","[0, 1, 1]",False
6,6,DAL,ARI,2,2,3,1,-207,189,2,3,0,5,0,0,"[1, 1, 1]","[0, 1, 0]",True
6,6,ARI,DAL,2,2,1,3,189,-207,0,5,2,3,0,0,"[0, 1, 0]","[1, 1, 1]",False
5,4,EDM,CAR,2,2,3,5,-125,115,1,3,1,2,0,0,"[0, 1, 2]","[3, 0, 2]",True
4,5,CAR,EDM,2,2,5,3,115,-125,1,2,1,3,0,0,"[3, 0, 2]","[0, 1, 2]",False
6,7,VEG,BUF,1,1,5,4,100,-110,4,1,1,5,0,0,"[1, 2, 1, 1]","[1, 0, 3, 0]",True
7,6,BUF,VEG,1,1,4,5,-110,100,1,5,4,1,0,0,"[1, 0, 3, 0]","[1, 2, 1, 1]",False
5,6,SJ,MON,2,2,5,2,-121,111,1,3,1,4,0,0,"[1, 3, 1]","[1, 1, 0]",True
6,5,MON,SJ,2,2,2,5,111,-121,1,4,1,3,0,0,"[1, 1, 0]","[1, 3, 1]",False
7,7,TOR,DET,0,1,6,3,-120,100,5,1,4,2,0,0,"[4, 1, 1]","[1, 2, 0]",True
7,7,DET,TOR,1,0,3,6,100,-120,4,2,5,1,0,0,"[1, 2, 0]","[4, 1, 1]",False
7,7,STL,CHI,3,3,5,2,-120,100,4,2,4,2,0,0,"[1, 2, 2]","[0, 0, 2]",True
7,7,CHI,STL,3,3,2,5,100,-120,4,2,4,2,0,0,"[0, 0, 2]","[1, 2, 2]",False
6,7,LA,MON,2,0,5,1,-170,153,4,1,1,5,0,0,"[1, 0, 4]","[1, 0, 0]",True
7,6,MON,LA,0,2,1,5,153,-170,1,5,4,1,0,0,"[1, 0, 0]","[1, 0, 4]",False
6,6,BOS,VAN,3,1,6,3,-169,159,2,3,2,3,0,0,"[4, 1, 1]","[1, 2, 0]",True
6,6,VAN,BOS,1,3,3,6,159,-169,2,3,2,3,0,0,"[1, 2, 0]","[4, 1, 1]",False
8,7,NYR,NYI,1,3,3,4,-120,110,1,6,2,4,0,0,"[1, 0, 2, 0, 0]","[2, 1, 0, 0, 1]",True
7,8,NYI,NYR,3,1,4,3,110,-120,2,4,1,6,0,0,"[2, 1, 0, 0, 1]","[1, 0, 2, 0, 0]",False
7,7,PHI,NAS,1,1,0,1,-120,110,4,2,3,3,0,1,"[0, 0, 0]","[0, 0, 1]",True
7,7,NAS,PHI,1,1,1,0,110,-120,3,3,4,2,1,0,"[0, 0, 1]","[0, 0, 0]",False
7,8,CLB,TB,1,1,0,2,-135,125,5,1,5,2,0,0,"[0, 0, 0]","[1, 1, 0]",True
8,7,TB,CLB,1,1,2,0,125,-135,5,2,5,1,0,0,"[1, 1, 0]","[0, 0, 0]",False
7,7,OTT,NJ,1,1,4,5,-150,140,3,3,5,1,0,0,"[1, 3, 0, 0]","[2, 0, 2, 1]",True
7,7,NJ,OTT,1,1,5,4,140,-150,5,1,3,3,0,0,"[2, 0, 2, 1]","[1, 3, 0, 0]",False
8,6,CHI,EDM,0,1,1,2,-110,100,4,3,1,4,0,0,"[1, 0, 0, 0]","[1, 0, 0, 1]",True
6,8,EDM,CHI,1,0,2,1,100,-110,1,4,4,3,0,0,"[1, 0, 0, 1]","[1, 0, 0, 0]",False
8,8,COL,STL,1,0,3,4,100,-110,4,3,5,2,0,0,"[1, 0, 2]","[0, 3, 1]",True
8,8,STL,COL,0,1,4,3,-110,100,5,2,4,3,0,0,"[0, 3, 1]","[1, 0, 2]",False
7,5,CAL,CAR,4,1,1,2,-121,111,4,2,2,2,0,0,"[0, 0, 1]","[0, 1, 1]",True
5,7,CAR,CAL,1,4,2,1,111,-121,2,2,4,2,0,0,"[0, 1, 1]","[0, 0, 1]",False
7,7,ARI,DAL,1,1,4,5,135,-145,0,6,3,3,0,1,"[1, 1, 2]","[2, 0, 3]",True
7,7,DAL,ARI,1,1,5,4,-145,135,3,3,0,6,1,0,"[2, 0, 3]","[1, 1, 2]",False
8,7,BUF,VAN,2,0,2,4,-160,150,1,6,2,4,0,0,"[2, 0, 0]","[1, 2, 1]",True
7,8,VAN,BUF,0,2,4,2,150,-160,2,4,1,6,0,0,"[1, 2, 1]","[2, 0, 0]",False
8,6,NJ,SJ,0,2,0,3,123,-133,6,1,2,3,0,0,"[0, 0, 0]","[1, 2, 0]",True
6,8,SJ,NJ,2,0,3,0,-133,123,2,3,6,1,0,0,"[1, 2, 0]","[0, 0, 0]",False
8,8,DET,WAS,1,2,3,4,115,-125,4,3,3,4,0,0,"[0, 1, 2, 0]","[0, 1, 2, 1]",True
8,8,WAS,DET,2,1,4,3,-125,115,3,4,4,3,0,0,"[0, 1, 2, 1]","[0, 1, 2, 0]",False
6,8,FLA,PIT,2,2,3,4,105,-115,2,3,4,3,0,1,"[2, 0, 1]","[0, 3, 1]",True
8,6,PIT,FLA,2,2,4,3,-115,105,4,3,2,3,1,0,"[0, 3, 1]","[2, 0, 1]",False
7,5,WIN,MIN,2,5,4,3,-113,103,3,3,1,3,0,0,"[2, 1, 1]","[1, 2, 0]",True
5,7,MIN,WIN,5,2,3,4,103,-113,1,3,3,3,0,0,"[1, 2, 0]","[2, 1, 1]",False
7,8,ANA,MON,4,1,6,2,101,-111,2,4,1,6,0,0,"[3, 0, 3]","[0, 2, 0]",True
8,7,MON,ANA,1,4,2,6,-111,101,1,6,2,4,0,0,"[0, 2, 0]","[3, 0, 3]",False
9,8,NYR,NAS,1,1,4,2,-110,100,1,7,4,3,0,0,"[2, 1, 1]","[0, 2, 0]",True
8,9,NAS,NYR,1,1,2,4,100,-110,4,3,1,7,0,0,"[0, 2, 0]","[2, 1, 1]",False
8,7,PHI,EDM,1,1,2,1,-116,106,4,3,2,4,0,0,"[1, 0, 1]","[0, 1, 0]",True
7,8,EDM,PHI,1,1,1,2,106,-116,2,4,4,3,0,0,"[0, 1, 0]","[1, 0, 1]",False
7,9,BOS,BUF,1,0,4,5,-190,175,3,3,1,7,0,0,"[2, 2, 0, 0]","[0, 2, 2, 1]",True
