season,t:game number,to:game number,t:abbreviation,to:abbreviation,t:rest,to:rest,t:goals,to:goals,shoot out,t:line,to:line,t:wins,to:wins,t:losses,to:losses,t:matchup wins,t:matchup losses,H,t.period.scores0,t.period.scores1,t.period.scores2,t.period.scores3,t.period.scores4,to.period.scores0,to.period.scores1,to.period.scores2,to.period.scores3,to.period.scores4
2016.0,59.0,58.0,NJ,NYI,0,0,4,6,-,141,-151,25.0,26.0,33.0,31.0,1.0,0.0,False,1,2,1,-,-,1,3,2,-,-
2016.0,58.0,58.0,CLB,NAS,1,0,3,4,-,-140,130,37.0,27.0,20.0,30.0,0.0,1.0,True,0,2,1,-,-,1,2,1,-,-
2016.0,58.0,58.0,NAS,CLB,0,1,4,3,-,130,-140,27.0,37.0,30.0,20.0,1.0,0.0,False,1,2,1,-,-,0,2,1,-,-
2016.0,55.0,58.0,CAR,TOR,1,0,0,4,-,-149,139,24.0,26.0,30.0,31.0,1.0,0.0,True,0,0,0,-,-,0,2,2,-,-
2016.0,58.0,55.0,TOR,CAR,0,1,4,0,-,139,-149,26.0,24.0,31.0,30.0,0.0,1.0,False,0,2,2,-,-,0,0,0,-,-
2016.0,57.0,58.0,COL,TB,1,0,2,3,-,145,-155,16.0,25.0,40.0,32.0,1.0,0.0,True,0,0,2,0,-,1,1,0,1,-
2016.0,58.0,57.0,TB,COL,0,1,3,2,-,-155,145,25.0,16.0,32.0,40.0,0.0,1.0,False,1,1,0,1,-,0,0,2,0,-
2016.0,60.0,59.0,SJ,BOS,0,6,1,2,-,-114,104,35.0,29.0,24.0,29.0,0.0,1.0,True,0,1,0,0,-,1,0,0,1,-
2016.0,59.0,60.0,BOS,SJ,6,0,2,1,-,104,-114,29.0,35.0,29.0,24.0,1.0,0.0,False,1,0,0,1,-,0,1,0,0,-
2016.0,60.0,58.0,ANA,LA,1,0,1,0,-,-129,119,30.0,28.0,29.0,29.0,1.0,1.0,True,0,1,0,-,-,0,0,0,-,-
2016.0,58.0,60.0,LA,ANA,0,1,0,1,-,119,-129,28.0,30.0,29.0,29.0,1.0,1.0,False,0,0,0,-,-,0,1,0,-,-
2016.0,60.0,59.0,VAN,PHI,0,2,2,3,-,115,-125,26.0,27.0,33.0,31.0,0.0,1.0,True,0,2,0,-,-,1,2,0,-,-
2016.0,59.0,60.0,PHI,VAN,2,0,3,2,-,-125,115,27.0,26.0,31.0,33.0,1.0,0.0,False,1,2,0,-,-,0,2,0,-,-
2016.0,60.0,58.0,STL,FLA,1,1,1,2,-,-137,127,31.0,27.0,28.0,30.0,0.0,0.0,True,0,0,1,-,-,1,0,1,-,-
2016.0,58.0,60.0,FLA,STL,1,1,2,1,-,127,-137,27.0,31.0,30.0,28.0,0.0,0.0,False,1,0,1,-,-,0,0,1,-,-
2016.0,58.0,61.0,ARI,ANA,1,0,3,2,-,125,-135,20.0,31.0,37.0,29.0,0.0,3.0,True,3,0,0,-,-,0,1,1,-,-
2016.0,61.0,58.0,ANA,ARI,0,1,2,3,-,-135,125,31.0,20.0,29.0,37.0,3.0,0.0,False,0,1,1,-,-,3,0,0,-,-
2016.0,60.0,58.0,NJ,OTT,1,1,1,2,-,-127,117,25.0,31.0,34.0,26.0,0.0,2.0,True,0,0,1,-,-,0,1,1,-,-
2016.0,58.0,60.0,OTT,NJ,1,1,2,1,-,117,-127,31.0,25.0,26.0,34.0,2.0,0.0,False,0,1,1,-,-,0,0,1,-,-
